Year,Operation,Difficulty,Map,Mission,Wave,Author
2022,1 - Binary Blackout,Intermediate,Brugge,Frontline Fodder,6,randomguy
2022,1 - Binary Blackout,Intermediate,Isolation,Frostbite,7,the fat
2022,1 - Binary Blackout,Intermediate,Casino City,Jackpot,7,Ultimaximus
2022,1 - Binary Blackout,Intermediate,Redstone Ridge,Reddish Rebellion,6,randomguy
2022,1 - Binary Blackout,Intermediate,Coastrock,Sandtraps,8,Literally A Moth
2022,1 - Binary Blackout,Intermediate,Shiver Peak,Snowy Sunshine,8,CreatorForce
2022,1 - Binary Blackout,Intermediate,Autumnull,Urban Uprising,6,Literally A Moth
2022,1 - Binary Blackout,Advanced,Underground,Absentia,6,Literally A Moth
2022,1 - Binary Blackout,Advanced,Area 52,Australian Christmas,7,Literally A Moth
2022,1 - Binary Blackout,Advanced,Dockyard,Cargo Carnage,6,the fat
2022,1 - Binary Blackout,Advanced,Dockyard,Cargo Carnage,6,randomguy
2022,1 - Binary Blackout,Advanced,Coastrock,Cycled Overdrive,7,Sntr
2022,1 - Binary Blackout,Advanced,Doppler,Delta Drop,6,Sntr
2022,1 - Binary Blackout,Advanced,Quetzal,Jungle Judgment,5,Anonymous
2022,1 - Binary Blackout,Advanced,Downpour,Last Stand of Dead Men,1,randomguy
2022,1 - Binary Blackout,Advanced,Mannworks,Manntenance,6,Anonymous
2022,1 - Binary Blackout,Advanced,Hideout,Perilous Paradise,6,Athazar
2022,1 - Binary Blackout,Advanced,Nox,Radiant Dawn,6,CreatorForce
2022,1 - Binary Blackout,Advanced,Derelict,Shadow Wave,6,randomguy
2022,1 - Binary Blackout,Advanced,Cyberia,Silver Snow,5,CreatorForce
2022,1 - Binary Blackout,Advanced,Rottenburg,Township Tussle,7,Literally A Moth
2022,2 - Anniversary Annihilation,Intermediate,Decoy,Decimal Destruction,6,? Mo_ #killtf2
2022,2 - Anniversary Annihilation,Intermediate,Rottenburg,German Gears,7,Yoovy
2022,2 - Anniversary Annihilation,Intermediate,Area 52,Nuclear Threat,6,randomguy
2022,2 - Anniversary Annihilation,Intermediate,Havana,Rogue Gallery,6,PDA Expert
2022,2 - Anniversary Annihilation,Intermediate,Swirl,Twirled Trap,7,randomguy
2022,2 - Anniversary Annihilation,Intermediate,Mannworks,XLR-8,8,Package O' Lies
2022,2 - Anniversary Annihilation,Advanced,Coldtown,Brimstone,7,Yoovy
2022,2 - Anniversary Annihilation,Advanced,Estate,Eviction Notice,8,Yoovy
2022,2 - Anniversary Annihilation,Advanced,Mannhattan,Factory Reset,6,Package O' Lies
2022,2 - Anniversary Annihilation,Advanced,Steep,Fatal Error,1,Retrowave
2022,2 - Anniversary Annihilation,Advanced,Havana,Fisherman's Fury,3,Andrew Xtreme
2022,2 - Anniversary Annihilation,Advanced,Havana,Fisherman's Fury,3,Skin King
2022,2 - Anniversary Annihilation,Advanced,Dockyard,Malicious Malware,7,Yoovy
2022,2 - Anniversary Annihilation,Advanced,Nox,Robotic Ravage,6,randomguy
2022,2 - Anniversary Annihilation,Advanced,Nox,Robotic Ravage,6,eyes6526
2022,2 - Anniversary Annihilation,Advanced,Nox,Rusted Remnants,7,Athazar
